Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.OptimizedDoubleBuffer,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.UserPaint,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.AllPaintingInWmPaint,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,"M:System.Windows.Forms.Control.SetStyle(System.Windows.Forms.ControlStyles,System.Boolean)",,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,23,8,M:System.Windows.Forms.Control.#ctor,,,,,"public WaveformPainter()          {              this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);              InitializeComponent();              OnForeColorChanged(EventArgs.Empty);              OnResize(EventArgs.Empty);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,15,12,T:System.Drawing.Pen,,,,,foregroundPen
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.OptimizedDoubleBuffer,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.UserPaint,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,T:System.Windows.Forms.ControlStyles,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,F:System.Windows.Forms.ControlStyles.AllPaintingInWmPaint,,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,25,12,"M:System.Windows.Forms.Control.SetStyle(System.Windows.Forms.ControlStyles,System.Boolean)",,,,,"this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,23,8,M:System.Windows.Forms.Control.#ctor,,,,,"public WaveformPainter()          {              this.SetStyle(ControlStyles.AllPaintingInWmPaint | ControlStyles.UserPaint |                  ControlStyles.OptimizedDoubleBuffer, true);              InitializeComponent();              OnForeColorChanged(EventArgs.Empty);              OnResize(EventArgs.Empty);          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,13,43,T:System.Windows.Forms.Control,,,,,Control
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\VolumeSlider.cs,144,20,M:System.Windows.Forms.Control.Invalidate,,,,,Invalidate();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\VolumeSlider.cs,116,12,P:System.Windows.Forms.Control.Width,,,,,float dbVolume = (1 - (float)x / this.Width) * MinDb;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\VolumeSlider.cs,106,8,T:System.Windows.Forms.MouseEventArgs,,,,,protected override void OnMouseDown(MouseEventArgs e)
